Manager Name,AMC,Funds Currently Managed,Total AUM Under Management (₹ Cr),Tenure in Fund (yrs),Co-Manager,Previously Managed Funds,Brief Bio,Source URL,Last Verified Date
Ajay Khandelwal,Motilal Oswal,Motilal Oswal Midcap Fund-Reg(G)|Motilal Oswal Large & Midcap Fund-Reg(G)|Motilal Oswal Flexi Cap Fund-Reg(G)|Motilal Oswal Small Cap Fund-Reg(G)|Motilal Oswal ELSS Tax Saver Fund-Reg(G)|Motilal Oswal Large Cap Fund-Reg(G)|Motilal Oswal Manufacturing Fund-Reg(G)|Motilal Oswal Active Momentum Fund-Reg(G)|Motilal Oswal Quant Fund-Reg(G)|Motilal Oswal Financial Services Fund-Reg(G)|Motilal Oswal Infrastructure Fund-Reg(G)|Motilal Oswal Services Fund-Reg(G)|Motilal Oswal Special Opportunities Fund-Reg(G),70309.29,6.7|3.4|3.4|2.3|3.3|2.1|1.6|1.0|1.5|0.2|0.9|0.8|0.6,,,,,
Harish krishnan,Aditya Birla SL,Aditya Birla SL Large Cap Fund-Reg(G)|Aditya Birla SL Flexi Cap Fund-Reg(G)|Aditya Birla SL Balanced Advantage Fund(G)|Aditya Birla SL Quant Fund-Reg(G)|Aditya Birla SL Business Cycle Fund-Reg(G)|Aditya Birla SL Conglomerate Fund-Reg(G)|Aditya Birla SL Mfg. Equity Fund-Reg(G),64121.17,0.2|3.4|9.0|1.8|3.1|1.3|2.3,,,,,
Samir Rachh,Nippon India,Nippon India Small Cap Fund(G),61808.85,9.2,,,,,
R. Janakiraman,Franklin India,Franklin India Flexi Cap Fund(G)|Franklin India Small Cap Fund(G)|Franklin India Mid Cap Fund(G)|Franklin India Opportunities Fund(G)|Franklin India ELSS Tax Saver Fund(G)|Franklin India Multi Cap Fund-Reg(G)|Franklin India Multi Asset Allocation Fund-Reg(G)|Franklin India Technology Fund(G),61803.16,15.1|8.2|6.3|13.4|0.4|3.4|0.8|3.7,,,,,
Neelesh Surana,Mirae Asset,Mirae Asset Large & Midcap Fund-Reg(G)|Mirae Asset ELSS Tax Saver Fund-Reg(G),61078.41,15.7|10.2,,,,,
Atul Bhole,Kotak,Kotak Midcap Fund-Reg(G),55675.98,1.5,,,,,
Rupesh Patel,Nippon India,Nippon India Growth Mid Cap Fund(G)|Nippon India ELSS Tax Saver Fund(G),53097.68,3.2|7.8,,,,,
Manish Gunwani,Bandhan,Bandhan Small Cap Fund-Reg(G)|Bandhan Large & Mid Cap Fund-Reg(G)|Bandhan Flexi Cap Fund-Reg(G)|Bandhan Balanced Advantage Fund-Reg(G)|Bandhan Large Cap Fund-Reg(G)|Bandhan Focused Fund-Reg(G)|Bandhan Innovation Fund-Reg(G),48391.32,3.2|3.2|2.5|3.8|2.5|2.5|2.0,,,,,
Devender Singhal,Kotak,Kotak Multicap Fund-Reg(G)|Kotak Multi Asset Allocation Fund-Reg(G)|Kotak Equity Savings Fund(G)|Kotak Consumption Fund-Reg(G)|Kotak Special Opportunities Fund-Reg(G),46396.79,2.5|2.6|11.5|2.4|2.0,,,,,
Rahul Baijal,HDFC,HDFC Large Cap Fund(G)|HDFC Defence Fund-Reg(G)|HDFC Business Cycle Fund-Reg(G)|HDFC MNC Fund-Reg(G),45570.89,1.2|8.7|1.3|8.8,,,,,
Rohit Singhania,DSP,DSP Large & Mid Cap Fund-Reg(G)|DSP ELSS Tax Saver Fund-Reg(G)|DSP India T.I.G.E.R Fund-Reg(G)|DSP Dynamic Asset Allocation Fund-Reg(G)|DSP Natural Res & New Energy Fund-Reg(G),41395.63,0.7|4.5|2.1|2.4|3.4,,,,,
Gaurav Misra,Mirae Asset,Mirae Asset Large Cap Fund-Reg(G)|Mirae Asset Focused Fund-Reg(G),41392.15,7.2|6.8,,,,,
Taher Badshah,Invesco India,Invesco India Contra Fund-Reg(G)|Invesco India Smallcap Fund-Reg(G)|Invesco India Focused Fund-Reg(G)|Invesco India Flexi Cap Fund-Reg(G)|Invesco India Multicap Fund-Reg(G)|Invesco India Multi Asset Allocation Fund-Reg(G)|Invesco India ESG Integration Strategy Fund-Reg(G),40367.09,9.2|7.5|0.7|0.3|0.7|1.3|4.1,,,,,
Milind Agrawal,SBI,SBI ELSS Tax Saver FUND - REGULAR PLAN- GROWTH|SBI Banking & Financial Services Fund-Reg(G),37821.32,0.2|6.6,,,,,
Ihab Dalwai,ICICI Pru,ICICI Pru Large & Mid Cap Fund(G)|ICICI Pru Infrastructure Fund(G)|ICICI Pru Quality Fund-Reg(G),36569.15,3.8|8.8|0.9,,,,,
Shridatta Bhandwaldar,Canara Rob,Canara Rob Large Cap Fund-Reg(G)|Canara Rob Flexi Cap Fund-Reg(G)|Canara Rob Multi Cap Fund-Reg(G)|Canara Rob Focused Fund-Reg(G),34346.41,15.8|3.8|1.1|2.2,,,,,
Venugopal Manghat,HSBC,HSBC Small Cap Fund-Reg(G)|HSBC Value Fund-Reg(G)|HSBC Multi Cap Fund-Reg(G)|HSBC Infrastructure Fund-Reg(G),34110.54,2.4|13.4|2.4|3.7,,,,,
Vaibhav Dusad,ICICI Pru,ICICI Pru Focused Equity Fund(G)|ICICI Pru Technology Fund(G)|ICICI Pru Innovation Fund-Reg(G),33944.59,5.2|5.8|2.9,,,,,
Vinit Sambre,DSP,DSP Midcap Fund-Reg(G)|DSP Small Cap Fund-Reg(G)|DSP Business Cycle Fund-Reg(G),33820.21,1.3|2.8|2.0,,,,,
Amar Kalkundrikar,HDFC,HDFC Multi Cap Fund-Reg(G)|HDFC ELSS Tax saver(G),32176.71,3.8|8.8,,,,,
Vinay Sharma,Nippon India,Nippon India Multi Asset Allocation Fund-Reg(G)|Nippon India Focused Fund(G)|Nippon India Banking & Financial Services Fund(G)|Nippon India Innovation Fund-Reg(G),29818.0,5.7|7.9|7.9|2.6,,,,,
Ramesh Mantri,WOC,WOC Flexi Cap Fund-Reg(G)|WOC Multi Asset Allocation Fund-Reg(G)|WOC Mid Cap Fund-Reg(G)|WOC Multi Cap Fund-Reg(G)|WOC Balanced Advantage Fund-Reg(G)|WOC Large & Mid Cap Fund-Reg(G)|WOC Special Opp Fund-Reg(G)|WOC Large Cap Fund-Reg(G)|WOC Quality Equity Fund-Reg(G)|WOC Pharma and Healthcare Fund-Reg(G)|WOC ELSS Tax Saver Fund-Reg(G)|WOC Digital Bharat Fund-Reg(G)|WOC Equity Savings Fund-Reg(G)|WOC Consumption Opportunities Fund-Reg(G)|WOC ESG Best-In-Class Strategy Fund-Reg(G),29474.63,3.6|2.9|3.5|2.5|3.2|2.3|1.8|3.3|1.2|2.1|3.5|1.5|1.1|0.2|1.5,,,,,
Rohit Tandon,Kotak,Kotak Balanced Advantage Fund-Reg(G)|Kotak Large Cap Fund - Growth|Kotak Active Momentum Fund-Reg(G)|Kotak Services Fund-Reg(G),28013.98,7.7|2.2|2.4|0.2,,,,,
S. Bharath,Sundaram,Sundaram Mid Cap Fund-Reg(G)|Sundaram Aggressive Hybrid Fund(G)|Sundaram Multi Cap Fund(G)|Sundaram Flexi Cap Fund-Reg(G)|Sundaram Balanced Advantage Fund(G)|Sundaram ELSS Tax Saver Fund-Reg(G),26649.37,5.1|4.2|0.3|3.5|4.2|4.2,,,,,
